Percdeleted,AvgComKarma,TotalKarma,ComUpRatio,ContainsCant,ContainsDont,ContainsEveryone,ContainsAnyone,ContainsHappy,ContainsLove,AvgComLen,AvgWordLen,AvgCommTime,VoteTime,AvgVaderSentiment,post id,sub
0.018518519,24.28691983,27734,29.25527426,0.022580645,0.056989247,0.004301075,0.005376344,0.004301075,0.024731183,19.25913978,4.22896544,0.032080295,0.938517843,0.077580968,iy9hgz,gatekeeping
0.056213705,16.48467904,27668,6.18832476,0.072121069,0.194845117,0.02908489,0.015370064,0.006384488,0.08630882,43.97186096,4.628435606,0.017282347,0.106948778,0.000664956,8srdao,gatekeeping
0.047619048,16.60655738,27650,45.32786885,0.024054983,0.080756014,0.013745704,0.017182131,0.001718213,0.012027491,31.98281787,4.79864618,0.005050796,0.228941804,0.041728694,b549g3,gatekeeping
0.016990291,23.52205882,27578,67.59313725,0.029925187,0.047381546,0.014962594,0.009975062,0,0.007481297,26.62593516,4.389341575,0.00338254,0.228636521,-0.20343616,cn3rlf,gatekeeping
0.062566278,12.2917505,27560,27.72635815,0.045989305,0.131550802,0.028877005,0.017112299,0.004278075,0.023529412,34.12513369,4.280251982,0.009018079,0.250038483,-0.047279572,ce923i,gatekeeping
0.032697548,24.43431635,27548,73.85522788,0.002770083,0.066481994,0.016620499,0.013850416,0.005540166,0.013850416,20.52354571,4.272101498,0.002432485,0.17965175,-0.015790859,eq5rsr,gatekeeping
0.033105023,48.67741935,27524,30.61624027,0.02183908,0.031034483,0.010344828,0.005747126,0.003448276,0.006896552,17.13678161,4.435508753,0.003633918,0.111256891,0.026833218,8awzqa,gatekeeping
0.003813559,14.67457627,27448,11.63050847,0.016163335,0.071033603,0.00935772,0.011909826,0.002552105,0.034028073,19.1880051,4.381082219,0.021907184,0.254791694,0.024598681,ebwiig,gatekeeping
0.030985915,30.70194986,27418,76.37325905,0.037356322,0.028735632,0.00862069,0.002873563,0.005747126,0.00862069,12.20114943,4.489637306,0.036116882,2.758363976,0.041842816,bztuui,gatekeeping
0.020220588,27.17572464,27334,49.51811594,0.027726433,0.075785582,0.011090573,0.005545287,0.001848429,0.007393715,19.33456562,4.184799235,0.025331171,1.254351883,0.088992791,bnzf1l,gatekeeping
0.029739777,19.5261708,27327,25.09366391,0.008514664,0.063386944,0.009460738,0.016083254,0.005676443,0.01986755,25.45884579,4.553957637,0.00940454,0.235994374,0.141083349,esun7n,gatekeeping
0.015873016,16.99560246,27223,23.94283201,0.025915996,0.0974084,0.025915996,0.018766756,0.004468275,0.018766756,33.20643432,4.640804134,0.14093236,3.374319819,0.018206166,joqczj,gatekeeping
0.025510204,47.21428571,27198,138.7653061,0.047120419,0.020942408,0,0,0,0.005235602,11.58115183,4.466998192,0.001203207,0.166963376,0.069788482,854wx9,gatekeeping
0.045155993,11.617206,27169,21.44356748,0.066006601,0.141914191,0.02640264,0.018151815,0.00990099,0.021452145,33.91914191,4.252104111,0.013808035,0.296093536,-0.013325413,bh5d1k,gatekeeping
0.016620499,16.21402214,27065,24.96771218,0.01782364,0.056285178,0.010318949,0.008442777,0.000938086,0.018761726,16.72889306,4.226658442,0.005727347,0.142998741,0.082237523,dy95mm,gatekeeping
0.013157895,50.56666667,27028,180.1866667,0,0.027027027,0.033783784,0.013513514,0.006756757,0,14.92567568,4.555454957,0.004739167,0.853934667,0.126102027,d78jmy,gatekeeping
0.027745665,22.53563218,27022,31.05977011,0.021276596,0.074468085,0.007092199,0.007092199,0.009456265,0.016548463,18.86879433,4.312409948,0.019878361,0.617417329,0.03753026,hkkhjd,gatekeeping
0.019067797,16.63807531,27016,56.51882845,0.036247335,0.113006397,0.017057569,0.004264392,0.008528785,0.017057569,28.4989339,4.556112524,0.002374649,0.134212362,0.032747122,fas3g5,gatekeeping
0.024316109,16.57012195,26997,82.30792683,0.071875,0.11875,0.03125,0.040625,0,0.009375,37.11875,4.783717798,0.081011658,6.6679016,0.01579875,e4zwhg,gatekeeping
0.022849462,28.21513944,26974,35.82204515,0.016304348,0.09375,0.025815217,0.024456522,0.013586957,0.070652174,33.05298913,4.694002549,0.015724857,0.563296554,0.159188315,dtj4rh,gatekeeping
0.004929577,18.75968992,26955,18.99577167,0.004957507,0.053116147,0.005665722,0.002124646,0.004957507,0.033994334,11.53470255,4.343955302,0.006750518,0.128231293,0.119606728,c90vwp,gatekeeping
0.008064516,31.9516129,26935,72.40591398,0.016260163,0.054200542,0.002710027,0.008130081,0,0.005420054,13.12195122,4.423585295,0.007079549,0.512601249,0.091004336,c3mhbb,gatekeeping
0.031914894,29.58419244,26849,92.26460481,0.010638298,0.056737589,0.007092199,0,0,0.003546099,10.32269504,4.563036757,0.001173165,0.108241612,0.015996809,8kllhg,gatekeeping
0.029253731,44.92155723,26837,15.59384079,0.019138756,0.101076555,0.015550239,0.01854067,0.005980861,0.022129187,27.659689,4.483382706,0.007370107,0.11492827,0.085340431,74wlu3,gatekeeping
0.073145246,20.59940358,26835,26.6749503,0.047008547,0.163461538,0.025641026,0.023504274,0.012820513,0.021367521,37.88675214,4.366956178,0.00655312,0.174804145,0.010893269,ee3xns,gatekeeping
0.020446097,16.86861314,26808,48.91970803,0.022346369,0.039106145,0.018621974,0.005586592,0,0.011173184,17.38361266,4.382645956,0.019995439,0.978171038,0.06361676,aps5dx,gatekeeping
0.022972973,25.55929919,26790,36.10512129,0.026206897,0.055172414,0.011034483,0.013793103,0,0.013793103,23.3737931,4.469314292,0.029555041,1.06708835,-0.020421655,j65rdq,gatekeeping
0.024011299,19.65921788,26688,37.27374302,0.040057225,0.103004292,0.015736767,0.018597997,0.020028612,0.011444921,31.95422031,4.371239255,0.013231571,0.493190176,-0.067202718,cvopuk,gatekeeping
0.020594966,24.67954545,26657,60.58409091,0.051044084,0.113689095,0.025522042,0.004640371,0.004640371,0.002320186,38.15313225,4.497567502,0.027738785,1.680529054,0.026523666,baw79b,gatekeeping
